Running for 400.0 seconds (400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   pkg-0   dram   core   psys   SEN3 pch_co   B0D4 INT340   SEN2   SEN4 x86_pk   SEN5 iwlwif acpitz   SEN1  CPU Freq  Freq Min  Freq Max  GPU Freq
11:45:22   6.3   0.0   0.0  93.7   0.0    2    304   3575    0    0    0 105.61   21.85   1.22  17.53  65.00  54.05  46.00 100.05  20.00  64.05  63.05 100.00  61.05  51.00 100.00  60.05  1.23 GHz  0.80 GHz  4.60 GHz   N/A     
11:45:23   6.3   0.0   0.1  93.7   0.0    2    295   3880    0    0    0 104.65   21.56   1.22  17.07  64.80  54.05  46.00 100.05  20.00  64.05  64.05 100.00  60.05  51.00 100.00  60.05  1.00 GHz  0.80 GHz  4.71 GHz   N/A     
11:45:24   6.3   0.0   0.0  93.7   0.0    2    240   4207    0    0    0 104.80   21.47   1.22  17.08  65.03  54.05  46.00 100.05  20.00  64.05  64.05 100.00  60.05  51.00 100.00  60.05  0.99 GHz  0.80 GHz  4.60 GHz   N/A     
11:45:25   6.3   0.0   0.1  93.6   0.1    2    235   4020    0    0    0 105.59   21.64   1.22  17.22  65.52  54.05  45.00 100.05  20.00  65.05  63.05 100.00  60.05  51.00 100.00  60.05  0.89 GHz  0.80 GHz  4.70 GHz   N/A     
11:45:26   6.3   0.0   0.1  93.6   0.0    2    631   4334    2    2    2 109.48   23.54   1.23  19.15  65.56  54.05  47.00 100.05  20.00  65.05  63.05 100.00  60.05  51.00 100.00  60.05  1.00 GHz  0.80 GHz  4.65 GHz   N/A     
11:45:27   6.3   0.0   0.0  93.7   0.1    2    290   4254    0    0    0 107.72   22.40   1.22  17.96  66.13  55.05  46.00 100.05  20.00  65.05  63.05 100.00  60.05  51.00 100.00  59.05  0.99 GHz  0.80 GHz  4.60 GHz   N/A     
11:45:28   6.3   0.0   0.1  93.6   0.0    2    272   4116    0    0    0 108.12   23.00   1.22  18.65  65.25  55.05  45.00 100.05  20.00  65.05  63.05 100.00  60.05  51.00 100.00  59.05  0.99 GHz  0.80 GHz  4.55 GHz   N/A     
11:45:29   6.3   0.0   0.0  93.7   0.0    2    230   4259    0    0    0 104.50   21.20   1.22  16.77  65.30  55.05  46.00 100.05  20.00  65.05  63.05 100.00  60.05  51.00 100.00  59.05  0.99 GHz  0.80 GHz  4.70 GHz   N/A     
11:45:30   6.3   0.0   0.1  93.6   0.0    2    306   4564    1    0    0 109.29   23.21   1.22  18.79  66.06  55.05  46.00 100.05  20.00  65.05  63.05 100.00  60.05  51.00 100.00  59.05  1.00 GHz  0.80 GHz  4.60 GHz   N/A     
11:45:31   6.3   0.0   0.1  93.6   0.0    2    658   4466    2    2    2 111.81   24.68   1.23  20.29  65.62  55.05  45.00 100.05  20.00  66.05  63.05 100.00  60.05  51.00 100.00  59.05  0.89 GHz  0.80 GHz  4.70 GHz   N/A     
