Model       Freq  Turbo  Cores  Threads   L1    L2  L3   W  Date        Single  Laptop
r7-2800H    3300   3800      4        8   96  0.50   4  45  2018-09-10    2177
r7-4800H    2900   4200      8       16   64  0.50   8  45  2020-03-16    2587
r7-5800H    3200   4400      8       16   64  0.50  16  45  2021-01-12    3004
r7-6800H    3200   4700      8       16   64  0.50  16  45  2022-01-04    3199
r7-7840HS   3800   5100      8       16   64  1.00  16  45  2023-04-30    3607  Tuxedo-Sirius-16-Gen1
r7-8845HS   3800   5100      8       16   64  1.00  16  45  2023-12-06    3733  Tuxedo-Sirius-16-Gen2
r7-350      2000   5000      4       16   80  1.00  16  28  2025-02-18    3876
r7-450      2000   5100      8       24   80  1.00  16  28  2026-01-05    4282
