Time,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Fan1,Fan2
0,2459,2072,1833,1430,1318,1308,951,812,800,800,800,800,800,800,800,800,59,58,58,58,58,58,57,57,0,0
2,1337,900,900,900,900,900,900,900,887,800,800,800,800,800,800,800,59,59,58,58,58,58,57,57,0,0
3,1656,1179,900,900,900,900,899,895,843,822,800,800,800,800,800,800,59,58,58,58,58,58,58,57,0,0
5,2704,2664,1499,1499,1255,900,900,897,813,800,800,800,800,800,800,800,59,59,58,58,58,58,57,57,0,0
6,2315,1545,1204,1114,1074,1069,1068,1068,800,800,800,800,800,800,800,800,59,59,58,58,58,58,58,57,0,0
8,1220,1173,868,835,800,800,800,800,800,800,800,800,800,799,799,799,59,58,58,58,58,58,58,58,0,0
10,1273,1114,933,919,910,907,855,836,800,800,800,800,800,800,800,800,58,58,58,58,58,58,58,57,0,0
11,2330,2197,1868,1444,1404,1402,1345,1287,800,800,800,800,800,800,800,800,58,58,58,58,58,58,57,57,0,0
13,2700,2700,2698,1357,1214,900,900,900,900,900,900,899,800,800,800,800,59,59,59,58,58,58,58,57,0,0
14,2469,1595,1594,1524,1398,800,800,800,800,800,800,800,800,800,800,800,58,58,58,58,58,57,57,57,0,0
16,1176,1023,946,801,800,800,800,800,800,800,800,800,800,800,799,799,59,59,59,58,58,58,58,57,0,0
17,2301,2300,2300,2300,2300,2300,2298,1147,909,839,831,800,800,800,800,800,59,59,58,58,58,58,57,57,0,0
19,1166,954,814,807,805,805,803,800,800,800,800,800,800,800,800,799,59,59,59,58,58,58,57,57,0,0
20,1200,1145,854,817,813,808,808,800,800,800,800,800,800,800,799,799,59,59,58,58,58,58,57,57,0,0
22,2390,1286,1170,1070,1052,1049,1048,870,836,800,800,800,800,800,800,800,59,59,59,59,58,58,58,57,0,0
24,1681,1417,1339,1295,1283,1227,1189,844,800,800,800,800,800,800,800,800,59,59,59,58,58,58,58,57,0,0
25,2191,2082,1171,1112,1112,1051,949,800,800,800,800,800,800,800,800,800,59,59,59,59,58,58,58,57,0,0
27,2543,2463,2265,1645,1569,1565,1469,800,800,800,800,800,800,800,800,799,60,59,59,58,58,58,58,57,0,0
28,1448,1363,1196,1123,997,964,919,892,800,800,800,800,800,800,800,799,59,59,59,59,58,58,58,58,0,0
30,2149,1594,1212,1193,1176,1132,1130,1105,800,800,800,800,800,800,800,800,59,59,59,59,58,58,58,58,0,0
31,2473,2069,1866,1634,1607,1364,800,800,800,800,800,800,800,800,800,799,59,59,59,59,59,58,58,58,0,0
33,2412,2189,1622,1532,1532,1479,1408,1251,800,800,800,800,800,800,800,800,59,59,59,59,58,58,58,58,0,0
35,1125,927,885,845,830,830,830,800,800,800,800,800,800,800,800,799,59,59,59,59,58,58,58,57,0,0
36,800,800,800,800,800,800,800,800,800,800,800,799,799,799,799,799,59,59,59,59,58,58,58,57,0,0
38,2600,2600,2600,2600,2600,2600,2600,2600,2599,2599,1034,800,800,800,800,800,59,59,59,58,58,58,58,58,0,0
39,800,800,800,800,800,800,800,800,800,800,800,800,800,799,799,799,59,59,59,59,58,58,58,57,0,0
41,2481,2078,1731,1539,1534,1297,800,800,800,800,800,800,800,800,800,800,59,59,59,59,58,58,58,57,0,0
42,900,900,900,900,900,900,900,899,894,800,800,800,800,800,800,800,59,59,59,59,58,58,58,58,0,0
44,1150,1054,896,880,878,841,837,800,800,800,800,800,800,800,800,800,59,59,59,59,58,58,58,58,0,0
45,1232,1224,900,900,900,900,899,890,800,800,800,800,800,800,800,800,60,59,59,59,58,58,58,58,0,0
47,1840,1660,800,800,800,800,800,800,800,800,800,800,800,800,800,800,59,59,59,59,58,58,58,57,0,0
49,1428,1275,1179,978,929,929,928,926,800,800,800,800,800,800,800,800,59,59,59,59,59,58,58,58,0,0
50,1237,944,906,904,904,903,832,806,800,800,800,800,800,800,800,800,59,59,59,59,59,58,58,58,0,0
52,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,59,59,59,59,59,58,58,58,0,0
