Time,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Freq10,Freq11,Freq12,Freq13,Freq14,Freq15,Freq16,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Fan1,Fan2
1,4200,4200,4200,4200,4200,4200,4200,4200,4199,4199,4199,4199,4199,4199,4199,4199,56,53,52,51,51,50,50,50,1962,1668
2,3666,3666,3666,3666,3666,3666,3666,3666,3666,3665,3665,3628,3628,3627,3627,3627,100,96,95,93,93,88,85,84,1961,1667
3,3700,3700,3700,3700,3700,3700,3700,3700,3700,3699,3699,3699,3699,3699,3699,3699,100,97,95,93,92,89,86,84,1961,1667
4,3700,3700,3700,3700,3700,3700,3700,3700,3700,3699,3699,3699,3699,3699,3699,3699,100,97,96,94,93,89,85,85,1962,1667
5,3700,3699,3699,3699,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,100,97,95,94,92,89,86,85,1961,1666
6,3600,3600,3600,3600,3600,3600,3600,3600,3599,3599,3599,3599,3599,3599,3599,3599,100,97,95,95,93,90,87,86,1960,1666
8,3600,3600,3600,3600,3600,3600,3599,3599,3599,3599,3599,3599,3599,3599,3599,3599,100,97,95,94,92,89,87,85,1960,1667
9,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3599,3599,3599,3599,3599,3599,100,97,94,94,92,89,87,85,2063,1768
10,3600,3600,3600,3600,3599,3599,3599,3599,3599,3599,3599,3599,3599,3599,3599,3599,100,98,96,95,93,90,88,87,2220,1909
11,3600,3600,3600,3600,3600,3600,3600,3600,3600,3599,3599,3599,3599,3599,3599,3599,100,96,94,94,91,89,87,85,2364,2063
12,3600,3600,3600,3600,3600,3600,3600,3600,3599,3599,3599,3599,3599,3599,3599,3599,100,96,95,94,92,89,87,86,2529,2188
13,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3499,3499,3499,3499,3499,3499,100,97,95,95,93,90,87,87,2688,2327
15,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3499,3499,3499,3499,3499,3499,100,97,96,95,93,91,88,87,2854,2461
16,3500,3500,3500,3500,3500,3500,3500,3499,3499,3499,3499,3499,3499,3499,3499,3499,100,96,95,94,93,89,88,86,3018,2610
17,3500,3500,3500,3500,3500,3500,3500,3500,3500,3499,3499,3499,3499,3499,3499,3499,100,97,95,94,93,90,87,86,3174,2762
18,3500,3500,3500,3500,3500,3500,3500,3500,3499,3499,3499,3499,3499,3499,3499,3499,99,97,95,94,93,90,87,86,3300,2895
19,3500,3500,3500,3500,3500,3500,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,100,97,95,94,93,89,88,86,3452,3064
